osmotic  Ion str. g(H2O)   g(H)     g(Na)    g(Mg)    g(Ca)    g(K)     g(MgOH)  g(TRISH) g(Cl)    g(SO4)   g(HSO4)  g(OH)    g(TRIS)   [H]      [Na]     [Mg]     [Ca]     [K]     [MgOH]    [TRISH]  [Cl]     [SO4]    [HSO4]   [OH]     [TRIS]  
0.526385 4.000000 0.981213 0.378211 0.486662 0.055443 0.043837 0.406360 0.330262 0.330262 1.014475 0.055443 0.906814 0.321786 1.000000  0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 
0.865098 0.300000 0.995335 0.755396 0.696347 0.240367 0.267539 0.641183 0.619440 0.619440 0.782090 0.172160 0.789807 0.619757 1.000000  0.000000 0.000000 0.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.200000 0.000000 0.000000 
1.063675 3.000000 0.944134 1.205205 0.607407 0.136536 0.136203 0.363322 0.329306 0.329306 1.052073 0.065541 1.054154 0.329568 1.000000  0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 
0.741220 0.300000 0.996002 0.639464 0.697452 0.159446 0.128056 0.709220 0.631584 0.631584 0.783511 0.184796 0.805291 0.631907 1.000000  0.000000 0.000000 0.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.200000 0.000000 
0.559457 3.000000 0.970216 0.435719 0.735148 0.022019 0.008750 0.790070 0.384906 0.384906 1.031252 0.120093 1.232137 0.385212 1.000000  0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.000000 0.000000 
0.858132 0.300000 0.995373 0.714228 0.684616 0.237004 0.235064 0.663896 0.829108 0.619877 0.781758 0.139295 0.831261 0.544144 1.000000  0.000000 0.000000 0.000000 0.100000 0.000000 0.000000 0.000000 0.200000 0.000000 0.000000 0.000000 0.000000 
1.042255 3.000000 0.945228 0.896383 0.613374 0.140356 0.120572 0.471177 0.588696 0.339348 1.024122 0.056869 1.051859 0.165574 1.000000  0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 
0.586077 0.400000 0.997891 0.643889 0.684362 0.182392 0.153491 0.670848 0.621394 0.621394 0.773489 0.153491 0.814852 0.563467 1.000000  0.000000 0.000000 0.000000 0.100000 0.000000 0.000000 0.000000 0.000000 0.100000 0.000000 0.000000 0.000000 
0.473252 4.000000 0.983093 0.402844 0.531073 0.062593 0.045869 0.462463 0.336035 0.336035 0.935510 0.045869 0.916710 0.210564 1.000000  0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 
0.882622 0.300000 0.995241 0.749422 0.690577 0.232080 0.257593 0.639952 0.614307 0.614307 0.772876 0.133337 0.825771 0.550423 1.000000  0.000000 0.000000 0.000000 0.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.200000 0.000000 0.000000 
0.951046 3.000000 0.949899 1.228978 0.587675 0.107252 0.104037 0.374752 0.318608 0.318608 0.938728 0.042428 1.011561 0.199608 1.000000  0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 
