tempK,pres,H,Na,Mg,Ca,K,MgOH,trisH,Cl,SO4,HSO4,OH,tris,osm,aw,gH,gNa,gMg,gCa,gK,gMgOH,gtrisH,gCl,gSO4,gHSO4,gOH,gtris
2.981499999999999773e+02,1.013250000000000028e+01,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.436606289157212224e-01,9.966057642402972316e-01,7.954044390242090978e-01,7.830485222396367240e-01,3.692916639041471938e-01,3.686180144889460997e-01,7.678671737742739367e-01,9.016290574492986654e-01,7.594385697292624915e-01,7.954044390242090978e-01,2.845030467025392862e-01,8.213426727338417610e-01,7.308343373362666817e-01,1.000000000000000000e+00
2.981499999999999773e+02,1.013250000000000028e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.039397055705141737e+00,9.632430834648593176e-01,8.103876855392765366e-01,7.010652001658755905e-01,2.354190146194820865e-01,2.203410029214555310e-01,5.969285117702854970e-01,1.046035266810187991e+00,5.594206425931529392e-01,8.103876855392765366e-01,4.447848932039975833e-02,9.584807430246006232e-01,4.317816664524350423e-01,1.000000000000000000e+00
2.981499999999999773e+02,1.013250000000000028e+01,2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.503054153158629225e-01,9.959531848976046486e-01,6.453250270667375554e-01,6.972145795630271259e-01,1.695582079562800992e-01,1.360738037157679103e-01,6.823348034262380901e-01,6.289621646761072160e-01,6.745231102494393394e-01,6.833925929786389686e-01,1.654095719857038571e-01,7.204643667643958471e-01,5.962904700108287992e-01,1.000000000000000000e+00
2.981499999999999773e+02,1.013250000000000028e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.930700414555971633e-01,9.684557654938600324e-01,4.063994220610153141e-01,6.213366532310206081e-01,1.050447090910673065e-01,8.223721620440324620e-02,7.872205902984878989e-01,3.832211272777422684e-01,5.260094574839120352e-01,8.125449093649373955e-01,2.461576496488470170e-02,1.106334912976014939e+00,3.158380470835602249e-01,1.000000000000000000e+00
2.981499999999999773e+02,1.013250000000000028e+01,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.572995620908397729e-01,9.965567911637702725e-01,8.198074482373942651e-01,7.903480916377491061e-01,3.698868459095249195e-01,4.008322819839722495e-01,7.536622497480414129e-01,7.360116120695228137e-01,7.351656852168113598e-01,7.922205300955288410e-01,2.813206243014834129e-01,8.198074482373942651e-01,7.360116120695228137e-01,1.000000000000000000e+00
2.981499999999999773e+02,1.013250000000000028e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.093638356556547064e+00,9.613624422347016862e-01,9.299886811486133276e-01,7.030421051495023832e-01,2.447581591256077771e-01,3.088904464579671494e-01,5.050719970620003441e-01,4.634706231291780276e-01,4.581712408149796745e-01,7.878720479752771011e-01,4.350728025715339120e-02,9.299886811486133276e-01,4.634706231291780276e-01,1.000000000000000000e+00
2.981499999999999773e+02,1.013250000000000028e+01,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.102589752601891737e-01,9.967257091324934759e-01,7.410863185895590899e-01,7.854128658161890764e-01,2.809161548133929931e-01,2.282951464184835577e-01,7.943959906378338376e-01,7.410863185895590899e-01,7.402345591787133916e-01,7.905911937505618603e-01,2.871138567020716237e-01,8.254599163975727683e-01,7.410863185895590899e-01,1.000000000000000000e+00
2.981499999999999773e+02,1.013250000000000028e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.220566966258661123e-01,9.708156322874911259e-01,5.003841227340624087e-01,7.458629877227226368e-01,5.330617752814464927e-02,2.792100226680123073e-02,7.956458517920543816e-01,5.003841227340624087e-01,4.946626667496051843e-01,7.689060169986757787e-01,5.041047749511898268e-02,1.004058395820816241e+00,5.003841227340624087e-01,1.000000000000000000e+00
2.981499999999999773e+02,1.013250000000000028e+01,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.325272141474745258e-01,9.966457425802087711e-01,8.013399979097088899e-01,7.776754470047468892e-01,3.702856756958226025e-01,3.697026271423315968e-01,7.655414624864559370e-01,9.018766879692809990e-01,7.605744830113867483e-01,7.776754470047468892e-01,3.062666717335511546e-01,7.863154080220405850e-01,7.691560193437146919e-01,1.003132586325766962e+00
2.981499999999999773e+02,1.013250000000000028e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.363157822441853240e-01,9.668272375746089775e-01,8.703430253929499427e-01,6.571915652104390881e-01,2.422153140328893728e-01,2.291178386006136047e-01,5.842751500153637867e-01,1.049571241838985980e+00,5.717926010845852947e-01,6.571915652104390881e-01,7.496804523550490429e-02,6.724101513013115428e-01,5.973245432968620205e-01,1.028775232451281330e+00
