tempK,H,Na,Mg,Ca,K,MgOH,trisH,Cl,SO4,HSO4,OH,tris,osm,aw,gH,gNa,gMg,gCa,gK,gMgOH,gtrisH,gCl,gSO4,gHSO4,gOH,gtris
298.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.9436606289157212,0.9966057642402972,0.7954044390242091,0.7830485222396366,0.36929166390414714,0.36861801448894604,0.7678671737742739,0.9016290574492986,0.7594385697292625,0.7954044390242091,0.28450304670253923,0.8213426727338418,0.7308343373362667,1.0
298.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0393970557051417,0.9632430834648593,0.8103876855392764,0.7010652001658755,0.23541901461948198,0.22034100292145536,0.5969285117702855,1.0460352668101878,0.5594206425931529,0.8103876855392764,0.04447848932039976,0.9584807430246005,0.431781666452435,1.0
298.15,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.7503054153158629,0.9959531848976046,0.6453250270667374,0.6972145795630271,0.16955820795628004,0.1360738037157679,0.6823348034262381,0.6289621646761072,0.6745231102494393,0.6833925929786389,0.16540957198570383,0.7204643667643957,0.5962904700108288,1.0
298.15,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5930700414555969,0.96845576549386,0.4063994220610153,0.6213366532310206,0.10504470909106722,0.08223721620440325,0.7872205902984877,0.3832211272777422,0.5260094574839119,0.8125449093649373,0.024615764964884698,1.1063349129760147,0.31583804708356017,1.0
298.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.9572995620908398,0.9965567911637703,0.8198074482373943,0.7903480916377491,0.3698868459095249,0.40083228198397225,0.7536622497480414,0.7360116120695228,0.7351656852168114,0.7922205300955288,0.2813206243014834,0.8198074482373943,0.7360116120695228,1.0
298.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.093638356556547,0.9613624422347017,0.9299886811486133,0.7030421051495024,0.2447581591256079,0.30889044645796715,0.5050719970620003,0.463470623129178,0.4581712408149797,0.7878720479752771,0.04350728025715339,0.9299886811486133,0.463470623129178,1.0
298.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.9102589752601892,0.9967257091324935,0.7410863185895591,0.7854128658161891,0.280916154813393,0.2282951464184836,0.7943959906378338,0.7410863185895591,0.7402345591787134,0.7905911937505619,0.2871138567020716,0.8254599163975729,0.7410863185895591,1.0
298.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.822056696625866,0.9708156322874911,0.5003841227340623,0.7458629877227225,0.05330617752814463,0.027921002266801217,0.7956458517920544,0.5003841227340623,0.49466266674960513,0.7689060169986757,0.05041047749511898,1.004058395820816,0.5003841227340623,1.0
298.15,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.9325272141474745,0.9966457425802088,0.8013399979097089,0.7776754470047469,0.3702856756958226,0.3697026271423316,0.7655414624864558,0.901876687969281,0.7605744830113867,0.7776754470047469,0.30626667173355115,0.7863154080220406,0.7691560193437146,1.003132586325767
298.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9363157822441852,0.966827237574609,0.8703430253929499,0.6571915652104391,0.24221531403288932,0.22911783860061347,0.5842751500153637,1.0495712418389858,0.5717926010845852,0.6571915652104391,0.0749680452355049,0.6724101513013114,0.5973245432968619,1.0287752324512813
298.15,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.7858153757877651,0.9957620662947281,0.6530347932938363,0.6855144150492182,0.16779494695250494,0.1344666826004807,0.6732096210804976,0.6273768555562362,0.6743722378422377,0.6521727854781905,0.18493454090391553,0.6609305616953912,0.647570254843518,1.0063400133392202
298.15,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6474949839019102,0.9656113389083036,0.44153811493936196,0.5061337297677349,0.08783569712399364,0.057925278732429364,0.45734424308394295,0.36051733843673883,0.5063595880848178,0.5072004194605433,0.03274683027320972,0.47989661748980184,0.48455533044167176,1.0652398659011086
298.15,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.9372587071209092,0.9966287523377825,0.827106238965531,0.78618735340161,0.37158460622326134,0.4026274705816346,0.7526512547459832,0.7373322113255467,0.7373322113255467,0.7755918432624687,0.30329619368986177,0.78618735340161,0.7758280942885383,1.00316499806324
298.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9370325029370519,0.9668022710854647,0.9993393168715097,0.6712480533524173,0.23634240791073605,0.29076596188447357,0.5077671365133235,0.4694514872266349,0.4694514872266349,0.6328578294515405,0.06619841272690914,0.6712480533524173,0.6511440134390049,1.0321045808933844
