temp,H,Na,Mg,Ca,K,Cl,HSO4,SO4,OH,MgOH,osm,aw,gH,gNa,gMg,gCa,gK,gCl,gHSO4,gSO4,gOH,gMgOH
3.231499999999999773e+02,1.399999999999999911e+00,1.500000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01,3.299999999999999822e+00,3.600000000000000089e+00,1.199999999999999956e+00,5.000000000000000000e-01,3.000000000000000000e+00,2.000000000000000111e-01,1.298309594296342295e+00,6.894329349231043125e-01,2.035996113130499552e+00,1.116253451485532233e+00,2.380390116191787031e-01,2.956903842186223152e-02,7.974004421159949230e-01,1.225505255707643570e+00,1.631790078507949771e+00,1.577102953784849382e-02,4.991296032573876440e-01,2.054315204602973621e-01
2.981499999999999773e+02,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.436606289157212224e-01,9.966057642402972316e-01,7.954044390242092089e-01,7.830485222396368350e-01,3.692916639041473048e-01,3.686180144889462662e-01,7.678671737742740477e-01,7.954044390242092089e-01,8.213426727338418720e-01,2.845030467025393417e-01,7.308343373362666817e-01,9.016290574492986654e-01
2.981499999999999773e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.039397055705141737e+00,9.632430834648593176e-01,8.103876855392766476e-01,7.010652001658757015e-01,2.354190146194822808e-01,2.203410029214557253e-01,5.969285117702856081e-01,8.103876855392766476e-01,9.584807430246008453e-01,4.447848932039982078e-02,4.317816664524350978e-01,1.046035266810188213e+00
2.981499999999999773e+02,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.186747449103954688e+00,9.180375168371183170e-01,1.008721213258903182e+00,7.554325273767669158e-01,2.924671543943370700e-01,2.468107633898448394e-01,5.510006715639238495e-01,1.008721213258903182e+00,1.362608409985942570e+00,1.926869891126107778e-02,3.230730900420321072e-01,9.540374769418503709e-01
2.981499999999999773e+02,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.347039742665329776e+00,8.645021163626468441e-01,1.316077808827561091e+00,8.481331377889899104e-01,4.210027998210009725e-01,3.142864315302362210e-01,5.231342841969870427e-01,1.316077808827561091e+00,2.085931497902778986e+00,1.189197505370701707e-02,2.597944227078727852e-01,8.012844941665238085e-01
2.981499999999999773e+02,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.325272141474745258e-01,9.966457425802087711e-01,8.013399979097090009e-01,7.776754470047470003e-01,3.702856756958227136e-01,3.697026271423317634e-01,7.655414624864559370e-01,7.776754470047470003e-01,7.863154080220406961e-01,3.062666717335513211e-01,7.691560193437148030e-01,9.018766879692811100e-01
2.981499999999999773e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.363157822441853240e-01,9.668272375746089775e-01,8.703430253929501648e-01,6.571915652104393102e-01,2.422153140328895948e-01,2.291178386006138268e-01,5.842751500153638977e-01,6.571915652104393102e-01,6.724101513013116538e-01,7.496804523550501531e-02,5.973245432968621316e-01,1.049571241838986202e+00
2.981499999999999773e+02,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.838263693294704293e-01,9.315601402954302168e-01,1.152964474980884724e+00,6.684378987862464871e-01,3.076030944880898677e-01,2.699616286689712208e-01,5.371025554015889103e-01,6.684378987862464871e-01,6.548141962833174956e-01,4.258021744991751650e-02,5.540516551146402735e-01,9.594459490013778069e-01
2.981499999999999773e+02,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.044505060744423730e+00,8.932394865654255112e-01,1.586940707364793202e+00,7.135052168773391434e-01,4.502941689817355209e-01,3.662683884349356989e-01,5.168694414840160345e-01,7.135052168773391434e-01,6.478413535060666417e-01,3.012584581122340968e-02,5.369805644694770619e-01,8.070359223574390395e-01
2.981499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.617884806069889825e-01,9.953532936571733991e-01,6.798639725517271470e-01,6.514550956295995787e-01,2.373622310116138001e-01,2.359659380688495511e-01,6.278084974604576374e-01,7.850580162039330068e-01,7.896983310495588881e-01,1.575441611212403115e-01,6.083280789695395541e-01,7.894687602789460801e-01
2.981499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.108609046569181800e+00,9.418447980186579471e-01,7.716834944776724825e-01,5.177961626436963227e-01,1.450672615042360725e-01,1.221520222207699569e-01,3.791153726207101005e-01,1.118508847780105508e+00,1.165823370492673927e+00,6.003385430301357018e-02,2.800632519176028956e-01,5.308696369009467952e-01
2.981499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.530602277657776566e+00,8.475183397047690859e-01,1.297550565607791917e+00,5.882398939564862372e-01,2.958747771384380165e-01,1.898085823425870733e-01,3.067886337187201162e-01,1.989795940142497832e+00,2.459522731696372588e+00,5.669213085400150870e-02,1.865978361385292328e-01,3.549221276145158033e-01
2.981499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.018957527053879986e+00,7.208359645206036115e-01,2.345203000429202600e+00,7.163634306580185518e-01,8.583790416391952061e-01,3.897389560566617006e-01,2.519244618807292002e-01,3.844871460920888939e+00,6.838185948240055545e+00,6.874027663811142774e-02,1.377554241164007098e-01,2.769575880678021296e-01
2.981499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.875555012822347267e-01,9.971664596040729078e-01,6.593736037144978246e-01,6.460487168071118447e-01,2.200804617282159370e-01,2.191015405611787537e-01,6.335693125137880077e-01,8.201020140080416132e-01,8.773520378600193625e-01,1.413084467984719039e-01,5.644273256579712683e-01,7.118131942000908152e-01
2.981499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.460229075509887453e-01,9.699776923183925925e-01,5.408052692484565105e-01,4.509046407562802838e-01,6.661983118991655906e-02,6.155381822692913840e-02,3.799195980941289519e-01,1.203762354974683646e+00,1.297129067431327831e+00,7.176455531936394572e-02,2.010117956781225235e-01,4.372436015452891289e-01
2.981499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065453693620419973e+00,9.260967268383465401e-01,6.373852924581190349e-01,4.529487092000134552e-01,6.291530178219696678e-02,5.366683150102759259e-02,3.133621561683984091e-01,1.962537600409161032e+00,1.795381801842113489e+00,6.636083371371769013e-02,9.572823876618660743e-02,2.905437286117472095e-01
2.981499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.334443517629727349e+00,8.656799600905484837e-01,8.061940134446902162e-01,4.965589682083282330e-01,7.908873833456883662e-02,6.313352957257649389e-02,2.708103995999513458e-01,3.328006330182301742e+00,2.506625070652600762e+00,6.664790289794440825e-02,4.768979058135554283e-02,2.037653500632598258e-01
2.981499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.266424285971512909e-01,9.966668745666498186e-01,7.969440586572403840e-01,7.763942432005794814e-01,3.662343445154271349e-01,3.679759496902728078e-01,7.679852599447197781e-01,7.679852599447197781e-01,7.552086051595360283e-01,3.020795481417367090e-01,7.833938258779035158e-01,9.025706446584150777e-01
2.981499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.988550872724035967e-01,9.681330538814260089e-01,8.192001908634323204e-01,6.458818697646556695e-01,2.161099443603999859e-01,2.161984362101893875e-01,6.046278171289856118e-01,6.046278171289856118e-01,5.285797928793959377e-01,7.162611854003958500e-02,6.836963708725900535e-01,1.058468244787309054e+00
2.981499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.135091285205875211e-01,9.362923909418789936e-01,1.001798024166701051e+00,6.398306139751775978e-01,2.359061281775170493e-01,2.278992166768901984e-01,5.741260861415566907e-01,5.741260861415566907e-01,4.476589430096502564e-01,4.042390839586570278e-02,7.021740692691121888e-01,9.705044241092080082e-01
2.981499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.373633221539308114e-01,9.036441807014838901e-01,1.249528223981679398e+00,6.598072378066700550e-01,2.870040790833588984e-01,2.632125068781843158e-01,5.701778282216292126e-01,5.701778282216292126e-01,3.987989279780169150e-01,2.841139380252521648e-02,7.454489893845577253e-01,8.151125163672870988e-01
