tempK,pres,Na,Cl,osm,aw,gNa,gCl
2.981499999999999773e+02,1.013250000000000028e+01,1.000000000000000021e-02,1.000000000000000021e-02,9.680061987222366993e-01,9.996512881807050332e-01,9.022853599529609969e-01,9.022853599529609969e-01
2.981499999999999773e+02,1.013250000000000028e+01,1.000000000000000056e-01,1.000000000000000056e-01,9.322156485444543783e-01,9.966468613863127546e-01,7.770814897980214964e-01,7.770814897980214964e-01
2.981499999999999773e+02,1.013250000000000028e+01,1.000000000000000000e+00,1.000000000000000000e+00,9.371743766999833802e-01,9.667973290836358036e-01,6.572334600212743627e-01,6.572334600212743627e-01
2.981499999999999773e+02,1.013250000000000028e+01,2.000000000000000000e+00,2.000000000000000000e+00,9.868563499873550526e-01,9.313567652792914542e-01,6.707973618199507548e-01,6.707973618199507548e-01
2.981499999999999773e+02,1.013250000000000028e+01,3.000000000000000000e+00,3.000000000000000000e+00,1.048694757167763614e+00,8.928350618844179687e-01,7.179267961511495155e-01,7.179267961511495155e-01
2.981499999999999773e+02,1.013250000000000028e+01,5.000000000000000000e+00,5.000000000000000000e+00,1.191784972417408772e+00,8.067833882567081449e-01,8.773785354212477738e-01,8.773785354212477738e-01
2.981499999999999773e+02,1.013250000000000028e+01,6.250000000000000000e+00,6.250000000000000000e+00,1.289358476362487460e+00,7.480036570645529626e-01,1.020144073386903605e+00,1.020144073386903605e+00
