tempK,H,Na,Mg,Ca,K,Cl,HSO4,SO4,OH,MgOH,tris,osm,aw,gH,gNa,gMg,gCa,gK,gCl,gHSO4,gSO4,gOH,gMgOH,gtris
298.15,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.1,0.9405158810897003,0.9650444403228912,0.8703430253929499,0.6590585990037112,0.23528959108982234,0.2153090526673093,0.587667915712366,0.6569792609153253,0.6724101513013114,0.0749680452355049,0.5973245432968619,1.0495712418389858,1.027490258947245
298.15,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0.1,0.9851167471019227,0.9298219148163466,1.1529644749808845,0.6701203317402273,0.29880772241444226,0.25369121357050217,0.5402213995381072,0.6680060937472846,0.6548141962833174,0.04258021744991748,0.55405165511464,0.9594459490013776,1.050247853220455
298.15,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0.0,0.1,1.044365991846974,0.891573905102058,1.5869407073647928,0.7150700061220444,0.4374187953923399,0.34419362637832085,0.5198707960869792,0.7128139513465821,0.6478413535060664,0.030125845811223358,0.5369805644694767,0.8070359223574387,1.066594846004609
298.15,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0,0.0,0.1,0.8889338249552418,0.9936148153425224,0.679863972551727,0.6534747208446928,0.23057527348294354,0.22174442155033888,0.631454052357691,0.7850580162039329,0.7896983310495587,0.15754416112124017,0.6083280789695393,0.7894687602789459,0.9701934319341569
298.15,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0.1,1.0957274598411437,0.9406421077340799,0.7716834944776723,0.5190994360353732,0.1409193170800805,0.11478999778622936,0.3813168176614583,1.1185088477801053,1.1658233704926735,0.060033854303013466,0.28006325191760284,0.5308696369009467,0.7472542330473073
298.15,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0,0.0,0.1,1.5123822379912553,0.8468785756898262,1.2975505656077915,0.5893395172910917,0.28741475577073733,0.17836894020087843,0.3085700922535965,1.9897959401424974,2.459522731696372,0.05669213085400145,0.18659783613852923,0.3549221276145157,0.5590872067919543
298.15,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0,0.0,0.1,1.9981896405807615,0.7206683627129993,2.345203000429201,0.7172389315117548,0.8338351954077321,0.3662496378659583,0.25338733544720243,3.844871460920887,6.838185948240051,0.06874027663811133,0.13775542411640065,0.276957588067802,0.4183027555745418
298.15,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0,0.0,0.1,0.8374429535214899,0.9954842662822548,0.6593736037144977,0.648072520183161,0.2137876461430505,0.20589643051935244,0.6372483192798872,0.8201020140080415,0.8773520378600193,0.14130844679847185,0.5644273256579713,0.7118131942000909,0.9385568841671618
298.15,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.1,0.8237246670961793,0.969317813707385,0.5408052692484564,0.4521856282892922,0.06471495372509772,0.057844008879631495,0.3821257131068908,1.2037623549746834,1.2971290674313276,0.07176455531936392,0.2010117956781225,0.437243601545289,0.536402850745398
298.15,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0,0.0,0.1,1.0335192098247994,0.9265036635181829,0.6373852924581186,0.454088763999726,0.061116348851566776,0.05043236581104603,0.3151817857969368,1.96253760040916,1.7953818018421122,0.06636083371371748,0.09572823876618652,0.290543728611747,0.28808784931942166
298.15,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0,0.0,0.1,1.2983791953407162,0.8670307485760987,0.80619401344469,0.4976479723451374,0.0768273342949069,0.05932851203048402,0.27238293992471097,3.3280063301823,2.5066250706526003,0.06664790289794435,0.047689790581355564,0.20376535006325983,0.15472439941390795
298.15,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0,0.0,0.1,0.952818238398101,0.994863729808143,0.7969440586572403,0.7788263651902336,0.35576251447248763,0.34579827400638685,0.7724447924880349,0.7679852599447197,0.7552086051595359,0.3020795481417365,0.7833938258779034,0.9025706446584149,1.004550509264756
298.15,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.1,0.9063991239737178,0.9662908158629424,0.8192001908634321,0.6477167735296273,0.20993065876956984,0.20316829441513803,0.6081387665803778,0.6046278171289854,0.5285797928793958,0.07162611854003946,0.6836963708725897,1.0584682447873086,1.0582855435963439
298.15,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0,0.0,0.1,0.9184279268005734,0.9344132709969477,1.001798024166701,0.6414410434733738,0.22916080536069744,0.21416387630933093,0.5774599183108078,0.5741260861415566,0.44765894300965015,0.04042390839586567,0.7021740692691121,0.9705044241092079,1.1213689177936481
298.15,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0,0.0,0.1,0.9412275276596037,0.9017365228542273,1.2495282239816792,0.6612542619417103,0.27879769979971214,0.24734885704345885,0.573488733668713,0.5701778282216291,0.3987989279780168,0.02841139380252519,0.7454489893845576,0.815112516367287,1.1882126307050138
